CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/03/2021,17:14,BROOKLYN,11231,40.6843,-73.99724,"(40.6843, -73.99724)",CLINTON STREET,DE GRAW STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4456941,Station Wagon/Sport Utility Vehicle,DL,,,
09/11/2021,14:40,BROOKLYN,11231,40.67393,-73.999954,"(40.67393, -73.999954)",HAMILTON AVENUE,COURT STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4456921,Sedan,Sedan,,,
04/15/2021,5:27,BROOKLYN,11231,40.67816,-74.01416,"(40.67816, -74.01416)",WOLCOTT STREET,CONOVER STREET,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,Unspecified,Unspecified,,4408325,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
04/14/2021,13:55,BROOKLYN,11231,40.67474,-73.99777,"(40.67474, -73.99777)",SMITH STREET,WEST 9 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4407522,SEMI TRAIL,,,,
04/17/2021,10:29,BROOKLYN,11231,40.68079,-73.99174,"(40.68079, -73.99174)",UNION STREET,HOYT STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4408185,Station Wagon/Sport Utility Vehicle,,,,
09/12/2021,9:45,BROOKLYN,11231,40.675835,-74.01073,"(40.675835, -74.01073)",,,25        WOLCOTT STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4457262,Sedan,,,,
04/14/2021,10:45,BROOKLYN,11231,40.676765,-73.999695,"(40.676765, -73.999695)",,,153       NELSON STREET,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,,,,,4409423,Station Wagon/Sport Utility Vehicle,,,,
09/13/2021,3:10,BROOKLYN,11231,40.676155,-74.000175,"(40.676155, -74.000175)",,,148       HUNTINGTON STREET,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,4456462,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
09/13/2021,11:51,BROOKLYN,11231,40.67885,-74.00158,"(40.67885, -74.00158)",,,3         4 PLACE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4457260,Sedan,Box Truck,,,
09/13/2021,8:50,BROOKLYN,11231,40.67474,-73.99777,"(40.67474, -73.99777)",SMITH STREET,9 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4456777,Dump,Sedan,,,
09/14/2021,15:05,BROOKLYN,11231,40.679043,-73.995674,"(40.679043, -73.995674)",SMITH STREET,2 PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4457263,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/22/2021,16:22,BROOKLYN,11231,40.678486,-74.006195,"(40.678486, -74.006195)",DWIGHT STREET,DELEVAN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4409625,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/22/2021,14:15,BROOKLYN,11231,40.67897,-74.00831,"(40.67897, -74.00831)",VERONA STREET,RICHARDS STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,4409723,PSD,COM,,,
09/14/2021,17:05,BROOKLYN,11231,40.675117,-74.00962,"(40.675117, -74.00962)",LORRAINE STREET,OTSEGO STREET,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4457266,Sedan,Sedan,,,
04/24/2021,14:15,BROOKLYN,11231,40.680042,-74.007065,"(40.680042, -74.007065)",RICHARDS STREET,COMMERCE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4410811,AMBULANCE,,,,
04/24/2021,19:51,BROOKLYN,11231,40.6742,-73.99984,"(40.6742, -73.99984)",HAMILTON AVENUE,COURT STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4410073,Station Wagon/Sport Utility Vehicle,,,,
11/26/2021,17:00,BROOKLYN,11231,40.674953,-74.007545,"(40.674953, -74.007545)",,,505       COLUMBIA STREET,2,0,0,0,0,0,2,0,Unspecified,,,,,4487395,Sedan,,,,
12/14/2021,10:45,BROOKLYN,11231,40.67236,-74.01124,"(40.67236, -74.01124)",,,1         BEARD STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4488307,Sedan,,,,
12/08/2021,15:45,BROOKLYN,11231,40.68093,-74.004944,"(40.68093, -74.004944)",RAPELYE STREET,HAMILTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4484773,Sedan,Sedan,,,
04/26/2021,13:00,BROOKLYN,11231,40.672928,-74.01069,"(40.672928, -74.01069)",OTSEGO STREET,VAN DYKE STREET,,1,0,0,0,0,0,1,0,Lost Consciousness,,,,,4410794,Bus,,,,
04/26/2021,6:52,BROOKLYN,11231,40.674625,-74.00772,"(40.674625, -74.00772)",COLUMBIA STREET,LORRAINE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4410796,PK,Sedan,,,
04/27/2021,9:55,BROOKLYN,11231,40.678925,-74.01106,"(40.678925, -74.01106)",VAN BRUNT STREET,PIONEER STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4411202,Sedan,,,,
09/16/2021,12:45,BROOKLYN,11231,40.677864,-73.99808,"(40.677864, -73.99808)",COURT STREET,4 PLACE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4457952,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/17/2021,20:36,BROOKLYN,11231,40.68147,-73.99797,"(40.68147, -73.99797)",,,199       CARROLL STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4458269,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/11/2021,21:00,BROOKLYN,11231,40.681725,-73.996216,"(40.681725, -73.996216)",PRESIDENT STREET,COURT STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,4412741,Station Wagon/Sport Utility Vehicle,,,,
04/29/2021,15:55,BROOKLYN,11231,40.682182,-73.99356,"(40.682182, -73.99356)",,,282       SMITH STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4411961,Sedan,,,,
04/30/2021,16:40,BROOKLYN,11231,,,,COLUMBIA STREET,DEAD END,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4412104,Sedan,,,,
