Name,Status,BikesAvailable,EBikesAvailable,BikesDisabled,DocksAvailable,DocksDisabled,IsReturning,IsRenting,IsInstalled,TimeStamp
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T00:45:32-04:00
Henry St & Bay St,active,16,1,0,2,0,true,true,true,2023-07-25T00:45:32-04:00
Columbia St & Degraw St,active,21,0,0,0,0,true,true,true,2023-07-25T00:45:32-04:00
Columbia St & Lorraine St,active,36,1,1,0,0,true,true,true,2023-07-25T00:45:32-04:00
Van Brunt St & Van Dyke St,active,17,1,0,6,0,true,true,true,2023-07-25T00:45:32-04:00
Wolcott St & Dwight St,active,20,2,0,1,0,true,true,true,2023-07-25T00:45:32-04:00
Pioneer St & Van Brunt St,active,33,1,0,5,0,true,true,true,2023-07-25T00:45:32-04:00
Carroll St & Columbia St,active,36,0,3,0,0,true,true,true,2023-07-25T00:45:32-04:00
Dwight St & Van Dyke St,active,20,0,2,1,0,true,true,true,2023-07-25T00:45:32-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T00:45:32-04:00
Henry St & W 9 St,active,16,2,2,1,0,true,true,true,2023-07-25T00:45:32-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T00:45:32-04:00
Commerce St & Van Brunt St,active,15,3,0,4,0,true,true,true,2023-07-25T00:45:32-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T00:45:32-04:00
Bay St & Court St,active,22,2,0,4,0,true,true,true,2023-07-25T00:45:32-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T00:45:32-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T00:45:32-04:00
Sigourney St & Columbia St,active,17,1,2,2,0,true,true,true,2023-07-25T00:45:32-04:00
Columbia St & W 9 St,active,18,0,0,3,0,true,true,true,2023-07-25T00:45:32-04:00
Van Brunt St & Van Dyke St,active,17,1,0,6,0,true,true,true,2023-07-25T00:50:32-04:00
Columbia St & Lorraine St,active,36,1,1,0,0,true,true,true,2023-07-25T00:50:32-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T00:50:32-04:00
Wolcott St & Dwight St,active,20,2,0,1,0,true,true,true,2023-07-25T00:50:32-04:00
Henry St & Bay St,active,16,1,0,2,0,true,true,true,2023-07-25T00:50:32-04:00
Columbia St & Degraw St,active,21,0,0,0,0,true,true,true,2023-07-25T00:50:32-04:00
Dwight St & Van Dyke St,active,20,0,2,1,0,true,true,true,2023-07-25T00:50:32-04:00
Pioneer St & Van Brunt St,active,33,1,0,5,0,true,true,true,2023-07-25T00:50:32-04:00
Carroll St & Columbia St,active,36,0,3,0,0,true,true,true,2023-07-25T00:50:32-04:00
Clinton St & Centre St,active,21,1,0,0,0,true,true,true,2023-07-25T00:50:32-04:00
Richards St & Delavan St,active,10,0,0,9,0,true,true,true,2023-07-25T00:50:32-04:00
Henry St & W 9 St,active,16,2,2,1,0,true,true,true,2023-07-25T00:50:32-04:00
Pioneer St & Richards St,active,17,0,1,5,0,true,true,true,2023-07-25T00:50:32-04:00
Bay St & Court St,active,22,2,0,4,0,true,true,true,2023-07-25T00:50:32-04:00
Coffey St & Ferris St,active,4,0,0,19,0,true,true,true,2023-07-25T00:50:32-04:00
Commerce St & Van Brunt St,active,15,3,0,4,0,true,true,true,2023-07-25T00:50:32-04:00
Columbia St & W 9 St,active,18,0,0,3,0,true,true,true,2023-07-25T00:50:32-04:00
Van Brunt St & Wolcott St,active,28,0,2,4,0,true,true,true,2023-07-25T00:50:32-04:00
Sigourney St & Columbia St,active,17,1,2,2,0,true,true,true,2023-07-25T00:50:32-04:00
Coffey St & Conover St,active,20,0,2,10,0,true,true,true,2023-07-25T00:55:33-04:00
Henry St & Bay St,active,16,1,0,2,0,true,true,true,2023-07-25T00:55:33-04:00
Columbia St & Degraw St,active,21,0,0,0,0,true,true,true,2023-07-25T00:55:33-04:00
Van Brunt St & Van Dyke St,active,17,1,0,6,0,true,true,true,2023-07-25T00:55:33-04:00
Columbia St & Lorraine St,active,36,1,1,0,0,true,true,true,2023-07-25T00:55:33-04:00
Wolcott St & Dwight St,active,20,2,0,1,0,true,true,true,2023-07-25T00:55:33-04:00
