CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/14/2021,21:00,BROOKLYN,11216,40.69097,-73.94833,"(40.69097, -73.94833)",MARCY AVENUE,KOSCIUSZKO STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Turning Improperly,,,,4408308,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/06/2021,15:02,BROOKLYN,11216,40.684,-73.95031,"(40.684, -73.95031)",PUTNAM AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4408297,Station Wagon/Sport Utility Vehicle,,,,
04/14/2021,11:00,BROOKLYN,11216,40.6699,-73.95116,"(40.6699, -73.95116)",,,527       EASTERN PARKWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4408261,Station Wagon/Sport Utility Vehicle,,,,
09/11/2021,3:05,BROOKLYN,11216,40.68651,-73.954544,"(40.68651, -73.954544)",BEDFORD AVENUE,QUINCY STREET,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Traffic Control Disregarded,Unspecified,,,4457197,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
09/12/2021,3:33,BROOKLYN,11216,40.6802,-73.953285,"(40.6802, -73.953285)",BEDFORD AVENUE,BREVOORT PLACE,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4456161,Taxi,Sedan,,,
09/12/2021,3:45,BROOKLYN,11216,40.688946,-73.947014,"(40.688946, -73.947014)",,,545       GREENE AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4456037,Station Wagon/Sport Utility Vehicle,,,,
09/09/2021,0:05,BROOKLYN,11216,40.685463,-73.9506,"(40.685463, -73.9506)",MONROE STREET,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4457195,Station Wagon/Sport Utility Vehicle,,,,
12/16/2021,20:00,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",ATLANTIC AVENUE,BEDFORD AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487734,COM,Motorcycle,,,
09/08/2021,17:50,BROOKLYN,11216,40.678318,-73.94693,"(40.678318, -73.94693)",ATLANTIC AVENUE,NEW YORK AVENUE,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4457667,Station Wagon/Sport Utility Vehicle,E-Bike,,,
04/20/2021,9:00,BROOKLYN,11216,40.6862,-73.950745,"(40.6862, -73.950745)",GATES AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408919,Sedan,Sedan,,,
12/16/2021,17:00,BROOKLYN,11216,40.67187,-73.95464,"(40.67187, -73.95464)",BEDFORD AVENUE,SAINT JOHNS PLACE,,1,0,0,0,0,0,1,0,Outside Car Distraction,Passing or Lane Usage Improper,,,,4487683,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
04/19/2021,20:07,BROOKLYN,11216,40.679634,-73.94959,"(40.679634, -73.94959)",HERKIMER STREET,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4410217,Sedan,,,,
04/19/2021,15:30,BROOKLYN,11216,40.69024,-73.9482,"(40.69024, -73.9482)",MARCY AVENUE,LAFAYETTE AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4410366,Sedan,Stake or Rack,,,
04/16/2021,18:30,BROOKLYN,11216,40.680717,-73.9463,"(40.680717, -73.9463)",MACDONOUGH STREET,MARCY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4410375,Sedan,,,,
04/22/2021,15:00,BROOKLYN,11216,40.681446,-73.94644,"(40.681446, -73.94644)",MARCY AVENUE,MACON STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4410363,Station Wagon/Sport Utility Vehicle,Bike,,,
04/19/2021,10:00,BROOKLYN,11216,40.678604,-73.94969,"(40.678604, -73.94969)",,,588       NOSTRAND AVENUE,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4410188,Flat Bed,,,,
04/24/2021,23:10,BROOKLYN,11216,40.67187,-73.95464,"(40.67187, -73.95464)",SAINT JOHNS PLACE,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4410319,Bus,Station Wagon/Sport Utility Vehicle,,,
03/15/2021,14:22,BROOKLYN,11216,40.67657,-73.94431,"(40.67657, -73.94431)",DEAN STREET,BROOKLYN AVENUE,,6,0,0,0,0,0,6,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,4410586,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
04/16/2021,7:18,BROOKLYN,11216,40.67357,-73.95294,"(40.67357, -73.95294)",ROGERS AVENUE,PARK PLACE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4410582,Sedan,,,,
04/15/2021,13:30,BROOKLYN,11216,40.68024,-73.946754,"(40.68024, -73.946754)",FULTON STREET,NEW YORK AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4411042,Bus,Sedan,,,
03/23/2022,18:30,BROOKLYN,11216,40.677353,-73.94424,"(40.677353, -73.94424)",PACIFIC STREET,BROOKLYN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514557,Sedan,,,,
03/24/2022,14:00,BROOKLYN,11216,40.6752,-73.950005,"(40.6752, -73.950005)",SAINT MARKS AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4514564,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/06/2021,17:33,BROOKLYN,11216,40.672752,-73.95432,"(40.672752, -73.95432)",BEDFORD AVENUE,STERLING PLACE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4488135,,,,,
12/15/2021,15:24,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",BEDFORD AVENUE,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4488157,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/26/2021,21:59,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",ATLANTIC AVENUE,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4411043,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/13/2021,21:00,BROOKLYN,11216,40.68096,-73.93765,"(40.68096, -73.93765)",MARCUS GARVEY BOULEVARD,DECATUR STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4458832,Convertible,,,,
03/27/2022,2:19,BROOKLYN,11216,40.677025,-73.95268,"(40.677025, -73.95268)",BEDFORD AVENUE,DEAN STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Other Vehicular,,,,4513649,Bus,Station Wagon/Sport Utility Vehicle,,,
12/19/2021,4:40,BROOKLYN,11216,40.67989,-73.94034,"(40.67989, -73.94034)",FULTON STREET,THROOP AVENUE,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4488250,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/25/2021,20:58,BROOKLYN,11216,40.680717,-73.9463,"(40.680717, -73.9463)",MARCY AVENUE,MACDONOUGH STREET,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4413559,Sedan,Sedan,,,
09/19/2021,14:45,BROOKLYN,11216,40.677025,-73.95268,"(40.677025, -73.95268)",BEDFORD AVENUE,DEAN STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inattention/Distraction,,,,4458690,Sedan,Bus,,,
09/19/2021,20:40,BROOKLYN,11216,40.68078,-73.93761,"(40.68078, -73.93761)",,,471       MARCUS GARVEY BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4458834,Sedan,,,,
05/04/2021,18:20,BROOKLYN,11216,40.669704,-73.94774,"(40.669704, -73.94774)",EASTERN PARKWAY,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4413689,Sedan,Sedan,,,
04/29/2021,10:00,BROOKLYN,11216,40.673912,-73.95546,"(40.673912, -73.95546)",,,678       PARK PLACE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4414090,Sedan,,,,
05/03/2021,22:00,BROOKLYN,11216,40.675354,-73.952774,"(40.675354, -73.952774)",SAINT MARKS AVENUE,ROGERS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4414086,Sedan,Sedan,,,
12/19/2021,18:52,BROOKLYN,11216,40.68039,-73.94956,"(40.68039, -73.94956)",FULTON STREET,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4488246,Sedan,Motorcycle,,,
05/04/2021,12:55,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",ATLANTIC AVENUE,BEDFORD AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4413954,Sedan,,,,
05/02/2021,23:30,BROOKLYN,11216,40.678963,-73.94965,"(40.678963, -73.94965)",NOSTRAND AVENUE,HERKIMER PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4414017,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/19/2022,19:10,BROOKLYN,11216,40.685112,-73.94717,"(40.685112, -73.94717)",MARCY AVENUE,MADISON STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4514944,Sedan,Sedan,,,
09/10/2021,5:01,BROOKLYN,11216,40.686577,-73.947464,"(40.686577, -73.947464)",MARCY AVENUE,GATES AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4459938,Station Wagon/Sport Utility Vehicle,Sedan,,,
09/10/2021,0:43,BROOKLYN,11216,40.685112,-73.94717,"(40.685112, -73.94717)",MARCY AVENUE,MADISON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4459937,Station Wagon/Sport Utility Vehicle,Bus,,,
03/27/2022,7:30,BROOKLYN,11216,40.678192,-73.94463,"(40.678192, -73.94463)",,,1381      ATLANTIC AVENUE,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4514772,Tow Truck / Wrecker,,,,
03/28/2022,2:50,BROOKLYN,11216,40.678455,-73.949684,"(40.678455, -73.949684)",ATLANTIC AVENUE,NOSTRAND AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4514429,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/29/2021,20:00,BROOKLYN,11216,40.69024,-73.9482,"(40.69024, -73.9482)",LAFAYETTE AVENUE,MARCY AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4414634,Station Wagon/Sport Utility Vehicle,,,,
05/03/2021,21:00,BROOKLYN,11216,40.67739,-73.94508,"(40.67739, -73.94508)",,,1374      PACIFIC STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4414214,Sedan,,,,
05/02/2021,12:00,BROOKLYN,11216,40.68138,-73.95352,"(40.68138, -73.95352)",HALSEY STREET,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4414759,Station Wagon/Sport Utility Vehicle,,,,
05/05/2021,12:35,BROOKLYN,11216,0,0,"(0.0, 0.0)",,,1275      BEDFORD AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4413967,Taxi,Sedan,,,
05/04/2021,0:18,BROOKLYN,11216,40.68327,-73.95016,"(40.68327, -73.95016)",NOSTRAND AVENUE,JEFFERSON AVENUE,,5,0,0,0,0,0,5,0,Driver Inattention/Distraction,Unspecified,,,,4414633,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/28/2022,15:54,BROOKLYN,11216,40.67357,-73.95294,"(40.67357, -73.95294)",ROGERS AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4514558,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/02/2021,9:50,BROOKLYN,11216,40.671555,-73.94898,"(40.671555, -73.94898)",,,884       SAINT JOHNS PLACE,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4415166,Station Wagon/Sport Utility Vehicle,,,,
12/20/2021,19:35,BROOKLYN,11216,40.68024,-73.946754,"(40.68024, -73.946754)",FULTON STREET,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4488256,Bus,Sedan,,,
03/29/2022,9:08,BROOKLYN,11216,40.674232,-73.948494,"(40.674232, -73.948494)",,,847       PROSPECT PLACE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4514553,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
09/14/2021,9:55,BROOKLYN,11216,40.6709,-73.95319,"(40.6709, -73.95319)",LINCOLN PLACE,ROGERS AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4461203,Station Wagon/Sport Utility Vehicle,Sedan,,,
09/20/2021,15:20,BROOKLYN,11216,40.687668,-73.951035,"(40.687668, -73.951035)",LEXINGTON AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4461042,Sedan,Convertible,,,
05/12/2021,6:25,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",BEDFORD AVENUE,ATLANTIC AVENUE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4416889,Bike,,,,
05/12/2021,23:00,BROOKLYN,11216,40.68731,-73.94761,"(40.68731, -73.94761)",MARCY AVENUE,QUINCY STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4416901,Sedan,,,,
05/07/2021,19:50,BROOKLYN,11216,40.68804,-73.947754,"(40.68804, -73.947754)",LEXINGTON AVENUE,MARCY AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4416886,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/12/2021,13:37,BROOKLYN,11216,40.670124,-73.95528,"(40.670124, -73.95528)",EASTERN PARKWAY,BEDFORD AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,4416421,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,
05/02/2021,22:26,BROOKLYN,11216,40.671585,-73.95312,"(40.671585, -73.95312)",,,169       ROGERS AVENUE,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4416972,Bike,Sedan,,,
05/15/2021,1:28,BROOKLYN,11216,40.681046,-73.94346,"(40.681046, -73.94346)",TOMPKINS AVENUE,MACDONOUGH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4416839,Sedan,Taxi,,,
09/25/2021,20:00,BROOKLYN,11216,40.6884,-73.95118,"(40.6884, -73.95118)",NOSTRAND AVENUE,GREENE AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4461461,Sedan,,,,
05/17/2021,15:30,BROOKLYN,11216,40.672142,-73.94752,"(40.672142, -73.94752)",,,236       NEW YORK AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4417899,Station Wagon/Sport Utility Vehicle,,,,
05/16/2021,8:30,BROOKLYN,11216,40.670456,-73.956924,"(40.670456, -73.956924)",,,353       EASTERN PARKWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4418249,Sedan,,,,
05/11/2021,15:30,BROOKLYN,11216,40.674313,-73.95009,"(40.674313, -73.95009)",NOSTRAND AVENUE,PROSPECT PLACE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4418238,Sedan,,,,
09/26/2021,3:19,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",ATLANTIC AVENUE,BEDFORD AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,4461454,Sedan,Sedan,,,
05/18/2021,8:15,BROOKLYN,11216,40.675957,-73.95273,"(40.675957, -73.95273)",,,22        ROGERS AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4418631,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/25/2021,5:00,BROOKLYN,11216,40.678455,-73.949684,"(40.678455, -73.949684)",ATLANTIC AVENUE,NOSTRAND AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4461858,Station Wagon/Sport Utility Vehicle,,,,
09/26/2021,15:00,BROOKLYN,11216,40.684,-73.95031,"(40.684, -73.95031)",NOSTRAND AVENUE,PUTNAM AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4461223,Sedan,,,,
09/26/2021,19:30,BROOKLYN,11216,40.68039,-73.94956,"(40.68039, -73.94956)",FULTON STREET,NOSTRAND AVENUE,,1,0,1,0,0,0,0,0,,,,,,4461873,,,,,
