School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
3K CENTER @ 1450 PLIMPTON AVENUE - BRONX,X,9,Lease,12534000,CAP,X486,1450 PLIMPTON AVENUE,Bronx,10452,BRONX,40.843998,-73.922008,204,16,2129309,2028740027,21302,BX0403,"(40.843998, -73.922008)",23-May,10930,50,5,42,27
P.S. 55 - QUEENS,Q,28,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6341000,CIP,Q055,131-10 97 AVENUE,Queens,11225,QUEENS,40.694004,-73.816617,409,29,4200233,4094770001,154,QN0903,"(40.694004, -73.816617)",23-May,24015,46,3,46,60
P.S. 176 - QUEENS,Q,29,EXTERIOR MASONRY / PARAPETS,1665000,CIP,Q176,120-45 235 STREET,Queens,11225,QUEENS,40.685492,-73.729982,413,27,4276382,4128200001,614,QN1304,"(40.685492, -73.729982)",23-May,15311,63,3,6,63
FASHION INDUSTRIES VOC HS - M,M,2,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS,16510000,CIP,M600,225 WEST 24 STREET,Manhattan,11225,MANHATTAN,40.745156,-73.996074,104,3,1014174,1007740019,91,MN0401,"(40.745156, -73.996074)",23-May,12074,12,4,10,6
QUEENS TECH HS - Q,Q,24,FY18 RESO A IPDVS CAMERA INSTALLATION,179245,CIP,Q600,37-02 47 AVENUE,Queens,11225,QUEENS,40.742205,-73.928219,402,26,4003259,4002280020,189,QN0202,"(40.742205, -73.928219)",23-May,16858,53,3,33,66
HILLSIDE ACADEMY FOR ARTS AND LETTERS - Q,Q,28,LSP DOMESTIC WATER HEATER,12107.82,CIP,Q470,167-01 GOTHIC DRIVE,Queens,11225,QUEENS,40.713218,-73.797237,408,24,4448806,4098580100,452,QN0805,"(40.713218, -73.797237)",23-May,24340,25,3,24,65
P.S. 102 - BROOKLYN,K,20,FY19 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,445000,CIP,K102,211 72 STREET,Brooklyn,11225,BROOKLYN,40.63402,-74.029036,310,47,3146491,3058900001,68,BK1001,"(40.63402, -74.029036)",23-May,17216,10,2,44,41
P.S. 169 - BROOKLYN,K,15,EXTERIOR MASONRY / PARAPETS / ROOF REPLACEMENT / WINDOWS,14790025,CIP,K169,4305 7 AVENUE,Brooklyn,11225,BROOKLYN,40.64629,-74.001903,307,38,3011002,3007320001,9201,BK0703,"(40.64629, -74.001903)",23-May,13515,9,2,7,45
LONG ISLAND CITY HS - Q,Q,30,CRACKED PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,21700000,CIP,Q452,14-30 BROADWAY,Queens,11225,QUEENS,40.765826,-73.9328,401,22,4467709,4005290002,45,QN0105,"(40.765826, -73.9328)",23-May,16863,39,3,4,72
P.S. 197 - QUEENS,Q,27,IPDVS CAMERA INSTALLATION,516000,CIP,Q197,825 HICKSVILLE ROAD,Queens,11225,QUEENS,40.600199,-73.743968,414,31,4298856,4155970001,101002,QN1401,"(40.600199, -73.743968)",23-May,20529,51,3,47,59
P.S. 60 - STATEN ISLAND,R,31,LSP REPLACE UNIVENTS,355900,CIP,R060,55 MERRILL AVENUE,Staten Island,11225,STATEN IS,40.610073,-74.162129,502,50,5031151,5015800044,29104,SI0204,"(40.610073, -74.162129)",23-May,10700,30,1,14,75
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,X,9,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,139884.83,CIP,X145,1000 TELLER AVENUE,Bronx,11225,BRONX,40.827941,-73.914374,204,16,2097111,2024240001,173,BX0401,"(40.827941, -73.914374)",23-May,10934,50,5,42,27
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP,Q123,145-01 119 AVENUE,Queens,11225,QUEENS,40.678296,-73.79562,412,28,4260828,4120190010,18402,QN1203,"(40.678296, -73.79562)",23-May,24671,41,3,46,71
P.S. 18 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,3442549,CIP,R018,221 BROADWAY,Staten Island,11225,STATEN IS,40.636587,-74.117509,501,49,5004877,5001760010,105,SI0104,"(40.636587, -74.117509)",23-May,10697,4,1,13,74
P.S. 81 - BRONX,X,10,FY20 RESO A IPDVS CAMERA INSTALLATION,700500,CIP,X081,5550 RIVERDALE AVENUE,Bronx,11225,BRONX,40.903553,-73.905229,208,11,2084806,2058501550,337,BX0803,"(40.903553, -73.905229)",23-May,11609,48,5,40,33
P.S. 110 - BRONX,X,9,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5847000,CIP,X110,580 CROTONA PARK SOUTH,Bronx,11225,BRONX,40.835286,-73.900751,203,15,2009718,2029320001,149,BX0301,"(40.835286, -73.900751)",23-May,10934,34,5,42,25
P.S. 162 - QUEENS,Q,26,FY21 RESO A GYMNASIUM UPGRADE,121300,CIP,Q162,201-02 53 AVENUE,Queens,11225,QUEENS,40.749036,-73.777213,411,20,4159363,4074100001,140901,QN1101,"(40.749036, -73.777213)",23-May,14506,26,3,3,69
P.S. 196 - BRONX,X,12,(PHASE II) EXISTING SCHOOL RENOVATION WORK,5056386.84,CIP,X077,1250 WARD AVENUE,Bronx,11225,BRONX,40.830499,-73.877704,209,17,2000000,2037750025,54,BX0901,"(40.830499, -73.877704)",23-May,11610,58,5,31,26
"MATH, SCI., RESEARCH & TECH. HS-Q",Q,29,SCIENCE LAB UPGRADES,2226000,CIP,Q490,207-01 116 AVENUE,Queens,11225,QUEENS,40.697819,-73.745728,413,27,4238003,4110490001,53401,QN1304,"(40.697819, -73.745728)",23-May,15311,63,3,6,63
SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH - NE,K,22,EXTERIOR MASONRY / PARAPETS / ROOFS,13807000,CIP,K864,3109 NEWKIRK AVENUE,Brooklyn,11225,BROOKLYN,40.640066,-73.947253,317,45,3112334,3049650001,830,BK1702,"(40.640066, -73.947253)",23-May,17217,61,2,26,40
P.S. 270 - BROOKLYN,K,13,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,8647200,CIP,K270,241 EMERSON PLACE,Brooklyn,11225,BROOKLYN,40.690202,-73.961478,302,35,3055378,3019330102,193,BK0204,"(40.690202, -73.961478)",23-May,13829,68,2,48,55
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,K,15,Demo,7888000,CAP,K004,4002 FORT HAMILTON PARKWAY,Brooklyn,11218,BROOKLYN,40.642614,-73.991338,312,38,3000000,3055870038,110,BK1201,"(40.642614, -73.991338)",23-May,17621,2,2,27,39
I.S. 562 - BRONX,X,8,FIRE ALARM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8214000,CIP,X125,1111 PUGSLEY AVENUE,Bronx,11225,BRONX,40.829232,-73.856734,209,18,2025717,2037900040,4001,BX0903,"(40.829232, -73.856734)",23-May,11610,58,5,31,26
P.S. 43 - QUEENS,Q,27,AIR CONDITIONING SPLIT SYSTEM / CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS,14084000,CIP,Q043,160 BEACH 29TH STREET,Queens,11225,QUEENS,40.593834,-73.76174,414,31,4467711,4158200001,99802,QN1401,"(40.593834, -73.76174)",23-May,20529,51,3,47,59
I.S. 162 - BROOKLYN,K,32,LL 26-EXIT SIGNS,55103,CIP,K162,1390 WILLOUGHBY AVENUE,Brooklyn,11225,BROOKLYN,40.707229,-73.919805,304,34,3073018,3032120001,445,BK0401,"(40.707229, -73.919805)",23-May,13828,42,2,30,53
HS FOR HEALTH PROF & HUMAN SERV-M,M,2,LOW-VOLTAGE ELECTRICAL SYSTEM / RPZ BACKFLOW PREVENTION DEVICES,3126000,CIP,M475,345 EAST 15 STREET,Manhattan,11225,MANHATTAN,40.732447,-73.983031,106,2,1020419,1009220008,48,MN0602,"(40.732447, -73.983031)",23-May,11724,71,4,50,7
RED HOOK NEIGHBORHOOD SCHOOL  - K,K,15,FLOOD ELIMINATION,5009892.98,CIP,K027,27 HUNTINGTON STREET,Brooklyn,11225,BROOKLYN,40.677564,-74.005166,306,38,3008342,3005250001,59,BK0601,"(40.677564, -74.005166)",23-May,13514,14,2,7,48
I.S. 49 - STATEN ISLAND,R,31,COVID VENTILATION,364531,CIP,R049,101 WARREN STREET,Staten Island,11225,STATEN IS,40.620347,-74.081643,501,49,5014184,5005560080,29,SI0102,"(40.620347, -74.081643)",23-May,10691,4,1,13,74
P.S. 254 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,148233.92,CIP,Q254,84-40 101ST STREET,Queens,11225,QUEENS,40.697961,-73.84796,409,29,4191296,4091770023,24,QN0902,"(40.697961, -73.84796)",23-May,24014,46,3,41,60
P.S. 12 - QUEENS,Q,24,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,6840000,CIP,Q012,42-00 72 STREET,Queens,11225,QUEENS,40.742633,-73.892805,402,26,4031853,4013490028,48302,QN0203,"(40.742633, -73.892805)",23-May,14787,53,3,33,66
MILLENNIUM HS - MANHATTAN,M,2,FY19 RESO A AUDITORIUM UPGRADE,84542,CIP,M824,75 BROAD STREET,Manhattan,11225,MANHATTAN,40.704541,-74.011552,101,1,1000849,1000290070,9,MN0101,"(40.704541, -74.011552)",23-May,11725,56,4,32,1
P.S. 57 - MANHATTAN,M,4,FULL PROGRAM ACCESSIBILITY,12461000,CIP,M057,176 EAST 115 STREET,Manhattan,11225,MANHATTAN,40.797577,-73.94128,111,8,1083184,1016400139,182,MN1102,"(40.797577, -73.94128)",23-May,12426,7,4,35,14
P.S. 310 - BRONX,X,10,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,24407.53,CIP,X122,260 WEST KINGSBRIDGE ROAD,Bronx,11225,BRONX,40.872895,-73.905244,207,14,2096486,2032390041,269,BX0701,"(40.872895, -73.905244)",23-May,11272,24,5,29,34
P.S. @ 24 SHELLEY AVENUE - STATEN ISLAND,R,31,New,76890000,CAP,R121,24 SHELLEY AVENUE,Staten Is,10314,STATEN IS,40.592379,-74.188029,502,50,5041718,5026290001,29102,SI0204,"(40.592379, -74.188029)",23-May,10700,30,1,14,75
P.S. 87 - MANHATTAN,M,3,EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / RPZ BACKFLOW PREVENTION DEVICES / WINDOWS,23719000,CIP,M087,160 WEST 78 STREET,Manhattan,11225,MANHATTAN,40.781958,-73.977638,107,6,1030196,1011490007,161,MN0702,"(40.781958, -73.977638)",23-May,12421,20,4,19,12
P.S. 102 - MANHATTAN,M,4,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7500000,CIP,M102,315 EAST 113 STREET,Manhattan,11225,MANHATTAN,40.794869,-73.938711,111,8,1081366,1016840101,180,MN1102,"(40.794869, -73.938711)",23-May,12426,7,4,35,14
P.S. 222 - QUEENS,Q,30,UPE- INTERIOR CONVERSION/ENCLOSED ROOFTOP PLAYGROUND,4054549,CIP,Q222,86-15 37TH AVENUE,Queens,11225,QUEENS,40.750172,-73.880363,403,25,4035854,4014600034,279,QN0301,"(40.750172, -73.880363)",23-May,14783,65,3,5,73
3K CENTER @ 159-26 JAMAICA AVENUE - QUEENS,Q,28,Lease,12948100,CAP,Q376,159-26 JAMAICA AVENUE,Queens,11432,QUEENS,40.703473,-73.799846,412,27,4215612,4101000001,44601,QN1201,"(40.703473, -73.799846)",23-May,24340,41,3,6,61
I.S. 241 - BRONX,X,9,ROOF REPLACEMENT,9079000,CIP,X970,1595 BATHGATE AVENUE,Bronx,11225,BRONX,40.839244,-73.901316,203,15,2009555,2029130001,167,BX0302,"(40.839244, -73.901316)",23-May,10935,34,5,42,25
