ID,Name,Longitude,Latitude,Location,Status,BikesAvailable,EBikesAvailable,BikesDisabled,DocksAvailable,DocksDisabled,IsReturning,IsRenting,IsInstalled,TimeStamp
1828965347681089818,Turner Pl & Coney Island Ave,-73.97073,40.64521,"https://www.google.com/maps/?q=40.645210,-73.970730",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1815967807827104584,E 46 St & Snyder Ave,-73.93415,40.65001,"https://www.google.com/maps/?q=40.650010,-73.934150",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1828966626550010820,77 St & 31 Ave,-73.89081,40.75886,"https://www.google.com/maps/?q=40.758860,-73.890810",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1828967979464708718,87 St & Roosevelt Ave,-73.87936,40.74825,"https://www.google.com/maps/?q=40.748250,-73.879360",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1828968883163894358,24 Ave & 87 St,-73.88256,40.7654,"https://www.google.com/maps/?q=40.765400,-73.882560",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1834145589124844432,92 St & 37 Ave,-73.87509,40.75085,"https://www.google.com/maps/?q=40.750850,-73.875090",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1835246937517543544,24 Ave & 92 St,-73.87789,40.76589,"https://www.google.com/maps/?q=40.765890,-73.877890",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1838071008881986168,37 Ave & 113 St,-73.8549,40.75475,"https://www.google.com/maps/?q=40.754750,-73.854900",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1835246658344669972,96 St & Northern Blvd,-73.8722,40.75712,"https://www.google.com/maps/?q=40.757120,-73.872200",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
66dc3e89-0aca-11e7-82f6-3863bb44ef7c,E 31 St & 3 Ave,-73.97966069,40.74394314,"https://www.google.com/maps/?q=40.743943,-73.979661",out_of_service,0,0,0,3,0,false,false,false,2023-07-29T15:06:22-04:00
64f0f28c-bedc-42d5-b107-ecdd48fc30cd,Broadway & W 48 St,-73.98486793041229,40.76017739537783,"https://www.google.com/maps/?q=40.760177,-73.984868",active,39,20,3,2,56,false,false,true,2023-07-29T15:06:22-04:00
7f4753d7-8d58-48bd-a881-de5bff08b27d,72 St & 41 Ave,-73.89377,40.7448,"https://www.google.com/maps/?q=40.744800,-73.893770",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
1d3a8670-09b3-4127-b750-af5311e565f0,Mount Eden Pkwy & Eastburn Ave,-73.908544,40.842675,"https://www.google.com/maps/?q=40.842675,-73.908544",out_of_service,0,0,0,0,0,false,false,false,2023-07-29T15:06:22-04:00
55a4dc76-d839-4e06-9bf4-2f343391343c,Woodward Ave & Harman St,-73.91092,40.70793,"https://www.google.com/maps/?q=40.707930,-73.910920",active,10,1,1,8,0,true,true,true,2023-07-29T15:06:22-04:00
ffae66ec-7c16-436f-bd0a-eedf81d580e7,E Mosholu Pkwy & Van Cortlandt Ave E,-73.88366,40.87656,"https://www.google.com/maps/?q=40.876560,-73.883660",active,2,1,4,16,0,true,true,true,2023-07-29T15:06:22-04:00
bc9c9006-3d40-400d-8b5c-17f56e6dfcee,Amsterdam Ave & W 162 St,-73.939789,40.83618,"https://www.google.com/maps/?q=40.836180,-73.939789",active,5,1,3,19,0,true,true,true,2023-07-29T15:06:22-04:00
c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,South St & Broad St,-74.01089876890182,40.70188858913366,"https://www.google.com/maps/?q=40.701889,-74.010899",active,0,0,0,3,0,false,false,true,2023-07-29T15:06:22-04:00
